trialnr	block	run	stim	keypress	go_nogo	face_onset	signal_onset	resp_onset	RT	accuracy	respmap	block_type
1	6	1	c_2.jpg	1	go	939694.843842	940111.447755	940594.693291	483.245536248	1	0	c_n
2	6	1	c_0.jpg	1	go	942644.925305	942994.799328	943344.762496	349.963168625	1	0	c_n
3	6	1	c_1.jpg	1	go	945278.103278	945711.423533	946061.423357	349.999824054	1	0	c_n
4	6	1	c_16.jpg	1	go	948061.433327	948394.759329	949211.451977	816.692648035	1	0	c_n
5	6	1	c_11.jpg	1	no-go	950694.756162	950911.396789	951461.401246	550.0044573	0	0	c_n
6	6	1	c_6.jpg	1	go	953661.333155	954128.077883	954511.458487	383.380604175	1	0	c_n
7	6	1	c_7.jpg	1	no-go	956578.079877	956978.125213	957694.798389	716.673176671	0	0	c_n
8	6	1	c_12.jpg	1	go	959344.756338	959661.416143	960061.418958	400.002815137	1	0	c_n
9	6	1	c_17.jpg	1	go	962244.679098	962528.068382	962928.060347	399.991965131	1	0	c_n
10	6	1	c_14.jpg	1	no-go	965194.681385	965461.390103	965944.653234	483.263130854	0	0	c_n
11	6	1	c_10.jpg	1	no-go	967944.717161	968311.396085	968811.419545	500.023459475	0	0	c_n
12	6	1	c_3.jpg	1	go	970811.416612	971061.306353	971544.748362	483.442009351	1	0	c_n
13	6	1	c_13.jpg	1	no-go	973627.986684	973844.737864	974194.732409	349.994545672	0	0	c_n
14	6	1	c_18.jpg	1	go	976528.069848	977028.07542	977361.406114	333.330694142	1	0	c_n
15	6	1	c_15.jpg	1	go	979661.330516	979894.71241	980211.385411	316.673000724	1	0	c_n
16	6	1	c_4.jpg	1	go	982611.325472	982911.347524	982928.216059	16.8685354483	1	0	c_n
17	6	1	c_8.jpg	1	go	985328.024747	985778.083044	986128.034776	349.95173213	1	0	c_n
0	7	1	h_17.jpg	1	go	990461.378666	990828.057591	991144.660213	316.6026223	1	0	h_g
1	7	1	h_5.jpg	1	go	993328.027093	993628.026272	993978.106738	350.080465999	1	0	h_g
2	7	1	h_1.jpg	1	go	996177.961524	996644.698628	996944.691942	299.993314049	1	0	h_g
3	7	1	h_0.jpg	1	go	998927.947742	999427.969148	999711.376027	283.406878787	1	0	h_g
4	7	1	h_10.jpg	1	go	1002094.69534	1002328.04117	1002478.23547	150.194303102	1	0	h_g
5	7	1	h_4.jpg	1	go	1004644.6866	1005094.77481	1005428.02105	333.246240032	1	0	h_g
6	7	1	h_8.jpg	1	go	1007694.68637	1008011.30453	1008511.30717	500.002639191	1	0	h_g
7	7	1	h_16.jpg	1	go	1010344.62731	1010828.03032	1011011.36582	183.335503335	1	0	h_g
8	7	1	h_7.jpg	1	go	1013194.64414	1013478.02492	1013844.86572	366.840794619	1	0	h_g
9	7	1	h_13.jpg	1	go	1016028.00592	1016444.63183	1016811.41016	366.778333767	1	0	h_g
10	7	1	h_11.jpg	1	go	1018927.99261	1019144.72649	1019478.00909	333.282602219	1	0	h_g
11	7	1	h_15.jpg	1	go	1021777.95284	1021994.67118	1022377.96176	383.29057844	1	0	h_g
12	7	1	h_14.jpg	1	go	1024411.327	1024844.63845	1025211.37955	366.741091851	1	0	h_g
13	7	1	h_6.jpg	1	go	1027561.33333	1027827.9966	1028244.81282	416.816220819	1	0	h_g
14	7	1	h_12.jpg	1	go	1030227.98475	1030611.2809	1030911.27978	299.998885675	1	0	h_g
15	7	1	h_18.jpg	1	go	1033378.00399	1033627.9946	1033961.2816	333.28700087	1	0	h_g
16	7	1	h_3.jpg	1	go	1036311.25445	1036661.35398	1036978.01026	316.656285849	1	0	h_g
17	7	1	h_2.jpg	1	go	1039111.33896	1039444.60661	1039694.60719	250.000586487	1	0	h_g
